"iid","name_"
"IID000000002158196","Alpiq Holding SA"
"IID000000002150894","Naturgy Energy Group, S.A."
"IID000000002173710","LEONI AG"
"IID000000002168754","HORIBA,Ltd."
"IID000000002162601","Compania General de Electricidad S.A."
"IID000000002156216","ADVANCE AUTO PARTS, INC."
"IID000000002160487","CEC INTERNATIONAL HOLDINGS LIMITED"
"IID000000002169675","HUALAN BIOLOGICAL ENGINEERING, INC."
"IID000000002183911","Sinoma International Engineering Co., Ltd."
"IID000000002182506","GAZPROM NEFTEKHIM SALAVAT OAO"
"IID000000002140741","DYNACQ HEALTHCARE, INC."
"IID000000002128856","Raven Russia Limited"
"IID000000002188278","URANIUM ENERGY CORP."
"IID000000002141047","QURATE RETAIL, INC."
"IID000000002158968","BANCA NAZIONALE DEL LAVORO S.P.A."
"IID000000002149253","KEURIG GREEN MOUNTAIN, INC."
"IID000000002160539","CHORI CO.,LTD."
"IID000000002167143","ELDERS LIMITED"
"IID000000002135902","Nice Information & Telecommunication Inc"
"IID000000002148724","ALTRAN TECHNOLOGIES S.A."
"IID000000001789005","COBALTS TRUST FOR SPRINT CAPITAL NOTES"
"IID000000002181712","ROSS STORES, INC."
"IID000000002175540","METROVACESA, S.A."
"IID000000002136931","THE BANCORP, INC."
"IID000000002131779","Jerusalem Cigarette Co Ltd"
"IID000000002125981","Arca Continental, S.A.B. de C.V."
"IID000000002174187","LYDEC S.A."
"IID000000002170666","INNER MONGOLIA YITAI COAL CO., LTD"
"IID000000002162015","Chunghwa Telecom Co., Ltd."
"IID000000002127193","KINDEN CORPORATION"
"IID000000002186623","TESSCO TECHNOLOGIES INCORPORATED"
"IID000000002138180","Gyldendal A/S"
"IID000000002189302","WASHINGTON FEDERAL, INC."
"IID000000002142519","homecast CO., LTD."
"IID000000002125159","Amano Corp"
"IID000000002146856","YTL POWER INTERNATIONAL BERHAD"
"IID000000002149500","TOC Co., Ltd."
"IID000000002144553","NYRSTAR N.V."
"IID000000002143374","ANHEUSER-BUSCH INBEV S.A."
"IID000000002223377","KENTUCKY UTILITIES COMPANY"
"IID000000002132489","INTERNATIONAL BUSINESS MACHINES CORPORATION"
"IID000000002161484","CEYLON BEVERAGE HOLDINGS PLC"
"IID000000002130272","Link and Motivation Inc"
"IID000000002150860","DSV A/S"
"IID000000002164111","DIGITAL REALTY TRUST, INC."
"IID000000002147016","Opus Global Nyrt"
"IID000000002135556","KYUNG DONG NAVIEN CO.,LTD"
"IID000000002149104","Haier Healthwise Holdings Limited"
"IID000000002161448","Cera Sanitaryware Ltd"
"IID000000002137914","St.Shine Optical Co Ltd"
"IID000000002135021","HEADLAM GROUP PLC"
"IID000000002196807","SBS Media Holdings"
"IID000000002155494","CommScope Connectivity LLC"
"IID000000002150179","SANYO DENKI CO., LTD."
"IID000000002172244","Kichiri Holdings & Co Ltd"
"IID000000002200235","DEXUS"
"IID000000002223372","KINDER MORGAN KANSAS, INC."
"IID000000002185262","SUNING.COM CO., LTD."
"IID000000002142177","CTC BIO, INC."
"IID000000002173341","LPS Brasil Consultoria de Imoveis SA"
"IID000000002187827","Recruit Global Staffing B.V."
"IID000000002184727","St.Galler Kantonalbank AG"
"IID000000002158475","AVANTI COMMUNICATIONS GROUP PLC"
"IID000000002165582","ERAMET S.A."
"IID000000002124574","TOYO SUISAN KAISHA, LTD."
"IID000000002165802","EUROSIC SA"
"IID000000002150930","Dongbu Corporation"
"IID000000002183434","SHENG YU STEEL CO., LTD."
"IID000000002132921","AVTOVAZ PAO"
"IID000000002126135","J.O.E.L. JERUSALEM OIL EXPLORATION LTD."
"IID000000002186243","TATA METALIKS LTD."
"IID000000002185717","ENTERPRISE TE PARTNERS L.P."
"IID000000002136799","NATIONAL CINEMEDIA, INC."
"IID000000002130266","THE TORIGOE CO.,LTD."
"IID000000002125950","Airbus Group SE"
"IID000000002189721","CHINA OCEAN INDUSTRY GROUP LIMITED"
"IID000000002163182","CRYSTALLEX INTERNATIONAL CORPORATION"
"IID000000002186940","Mondi Tire Kutsan Kagit ve Ambalaj Sanayi AS"
"IID000000002134462","JO-ANN STORES, LLC"
"IID000000002183869","SATS LTD."
"IID000000002129046","DEVINE LIMITED"
"IID000000002224564","G&K Services Canada Inc."
"IID000000002163511","DAEDUCK ELECTRONICS CO.,LTD"
"IID000000002183085","Pacifico Compania de Seguros y Reaseguros"
"IID000000002153881","CALATLANTIC GROUP, INC."
"IID000000002153877","SCORPION OFFSHORE LTD."
"IID000000002141588","Rheon Automatic Machinery Co Ltd"
"IID000000002172603","KENT GIDA MADDELERI SANAYII VE TICARET ANONIM SIRKETI"
"IID000000002199440","Progressive Waste Solutions Ltd."
"IID000000002159210","BARCO N.V."
"IID000000002157751","ARCELIK ANONIM SIRKETI"
"IID000000002142050","HSBC FRANCE S.A."
